run,epoch,temp,support_mass_mean,support_acc,true_token_prob_mean,exact_acc,soft_ce,entropy_bits_mean,unseen_contexts
g0.03_d0.05_t0.01,20,0.01,0.7335386623054347,0.8837167984365284,0.24938537153898457,0.3783423647508217,1.8585001840382152,2.950268903156167,18
g0.02_d0.05_t0.01,20,0.01,0.7291803528253777,0.8736785999822333,0.25479279340231326,0.36501732255485475,1.865415549488925,2.994948681586393,18
g0.05_d0.05_t0.005,20,0.005,0.6805160075401561,0.8289952918184241,0.233042059599955,0.3398774096117971,2.1514198977548586,2.7720684938651416,18
g0.1_d0.05_t0.005,20,0.005,0.6627199915372429,0.8128275739539842,0.22075101576977843,0.30283379230700896,2.1900631212452866,2.925746928593905,18
g0.05_d0.05_t0.01,20,0.01,0.6377272383894793,0.8509371946344497,0.21678703120921863,0.3579106333836724,2.0937942820013,3.186750862429829,18
g0.1_d0.05_t0.01,20,0.01,0.6092095507369661,0.5847916851736698,0.203267609774642,0.29936928133605756,2.131475298710133,3.3223701734396016,18
g0.01_d0.1_t0.01,20,0.01,0.5384444868694036,0.5031535933197122,0.1731451203202043,0.2582393177578396,2.236704628403739,3.5493695258262865,18
g0.05_d0.05_t0.02,20,0.02,0.531462919410571,0.852802700541885,0.17432363907118456,0.35977613929110774,2.193361763430877,3.7797893468854813,18
g0.03_d0.1_t0.005,20,0.005,0.46642353876011683,0.4416807319889846,0.14273231120374602,0.2336324065026206,2.437861977171315,3.7911574697859654,18
g0.1_d0.1_t0.005,20,0.005,0.45804459604697273,0.559296437772053,0.14069788874174066,0.23301057120014212,2.5153552010150495,3.7203648154509485,18
g0.05_d0.1_t0.01,20,0.01,0.4523118144953392,0.46424447010748865,0.14298600995105212,0.2664120103046993,2.435113402040388,3.970486264650129,18
g0.03_d0.1_t0.01,20,0.01,0.44838135891365577,0.46113529359509636,0.13990539902201288,0.263302833792307,2.436367071541399,3.9896815579760228,18
g0.1_d0.1_t0.01,20,0.01,0.4472486339807637,0.46317846673181134,0.13962293266908196,0.26534600692902194,2.4662357464872917,3.976861398154963,18
g0.02_d0.1_t0.01,20,0.01,0.44250389442361787,0.4549169405703118,0.13976579874280393,0.25210979834769476,2.450324309614706,3.9737104864414854,18
g0.1_d0.1_t0.02,20,0.02,0.39746241721203907,0.46975215421515504,0.12218424404614828,0.26259216487518877,2.5442052886292164,4.265838350466172,18
g0.03_d0.1_t0.02,20,0.02,0.39259407927533746,0.47570400639602023,0.12361665394792225,0.2695211868170916,2.5341146863474644,4.268083717169316,18
g0.01_d0.2_t0.01,20,0.01,0.2165385195085879,0.29288442746735366,0.06780481951865361,0.16913920227414053,3.1224388763414717,4.472162290943144,18
g0.02_d0.2_t0.01,20,0.01,0.2162659827643263,0.29288442746735366,0.0673362978148912,0.16913920227414053,3.09520289529244,4.503594573540662,18
g0.03_d0.2_t0.01,20,0.01,0.2129309893504034,0.30425513014124544,0.06640316471815928,0.14790796837523318,3.1153966117942167,4.500755654996423,18
g0.05_d0.2_t0.01,20,0.01,0.20923295935189576,0.30425513014124544,0.06517132517770635,0.14790796837523318,3.1407843322630042,4.498740351053064,18
